symbol,grey_market_date,grey_close,grey_change_pct,premium_to_ipo_price,source_url,source_note,collected_at
06082.HK,2026-01-01,91.52,-0.0018,-0.0018,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02513.HK,2026-01-07,80.9,0.1935,0.1935,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02675.HK,2026-01-07,70.98,-0.0657,-0.0657,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
09903.HK,2026-01-07,14.35,-0.1415,-0.1415,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00100.HK,2026-01-08,43.82,0.0434,0.0434,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03636.HK,2026-01-08,23.28,-0.0645,-0.0645,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06938.HK,2026-01-08,101.72,0.176,0.176,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00501.HK,2026-01-09,9.54,0.1583,0.1583,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01641.HK,2026-01-12,47.56,0.0826,0.0826,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03986.HK,2026-01-12,78.23,-0.0902,-0.0902,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
08610.HK,2026-01-12,22.5,0.2083,0.2083,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
09611.HK,2026-01-21,50.45,-0.1375,-0.1375,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
01768.HK,2026-01-27,25.9,-0.0907,-0.0907,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
09980.HK,2026-02-02,19.69,0.0363,0.0363,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02768.HK,2026-02-03,37.55,0.0334,0.0334,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02677.HK,2026-02-05,31.28,0.2476,0.2476,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02714.HK,2026-02-05,23.48,-0.0671,-0.0671,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
03200.HK,2026-02-05,80.44,-0.1324,-0.1324,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
06809.HK,2026-02-06,22.7,0.0122,0.0122,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00600.HK,2026-02-09,55.69,0.0961,0.0961,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02720.HK,2026-02-09,14.73,0.1042,0.1042,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
00470.HK,2026-02-10,35.39,0.1939,0.1939,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
02706.HK,2026-02-12,28.15,0.0387,0.0387,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
09981.HK,2026-02-12,38.29,-0.0314,-0.0314,https://www.aastocks.com/,AAStocks暗盘数据整理,2026-06-16
