symbol,listing_date,ipo_price,offer_price_low,offer_price_high,sponsor,industry,public_subscription_multiple,one_lot_success_rate,source_url,source_note,collected_at
06082.HK,2026-01-02,78.41,70.57,86.25,华泰国际,科技,105.2,0.9974,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02513.HK,2026-01-08,13.96,12.56,15.36,中金公司,科技,184.2,0.1895,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02675.HK,2026-01-08,17.57,15.81,19.33,高盛,医疗健康,112.2,0.4919,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
09903.HK,2026-01-08,56.09,50.48,61.7,华泰国际,科技,135.9,0.8352,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00100.HK,2026-01-09,86.22,77.6,94.84,高盛,科技,74.8,0.1714,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03636.HK,2026-01-09,16.47,14.82,18.12,中信证券,制造业,162.3,0.853,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06938.HK,2026-01-09,24.82,22.34,27.3,高盛,科技,191.6,0.9259,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00501.HK,2026-01-12,23.8,21.42,26.18,国泰君安,制造业,25.0,0.9011,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01641.HK,2026-01-13,31.73,28.56,34.9,海通国际,制造业,44.9,0.5506,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03986.HK,2026-01-13,51.66,46.49,56.83,中信证券,科技,116.3,0.8251,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
08610.HK,2026-01-13,28.03,25.23,30.83,高盛,消费,165.9,0.3205,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
09611.HK,2026-01-22,12.05,10.85,13.26,中金公司,科技,143.2,0.7309,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01768.HK,2026-01-28,27.43,24.69,30.17,高盛,消费,43.0,0.9687,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
09980.HK,2026-02-03,37.46,33.71,41.21,瑞银,消费,91.5,0.9812,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02768.HK,2026-02-04,16.3,14.67,17.93,高盛,消费,80.2,0.2756,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02677.HK,2026-02-06,18.51,16.66,20.36,高盛,医疗健康,100.4,0.9332,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02714.HK,2026-02-06,33.98,30.58,37.38,海通国际,制造业,27.4,0.3504,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03200.HK,2026-02-06,56.56,50.9,62.22,华泰国际,科技,74.3,0.3693,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06809.HK,2026-02-09,98.67,88.8,108.54,华泰国际,科技,107.5,0.3643,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00600.HK,2026-02-10,54.35,48.91,59.79,中信证券,科技,192.0,0.6696,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02720.HK,2026-02-10,35.11,31.6,38.62,国泰君安,制造业,171.5,0.8254,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00470.HK,2026-02-11,19.75,17.78,21.73,华泰国际,制造业,102.9,0.6077,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02706.HK,2026-02-13,8.89,8.0,9.78,中金公司,制造业,19.6,0.5507,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
09981.HK,2026-02-13,19.37,17.43,21.31,华泰国际,制造业,14.4,0.4597,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02649.HK,2026-03-09,44.07,39.66,48.48,中信证券,制造业,130.2,0.7372,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02692.HK,2026-03-09,40.71,36.64,44.78,中金公司,制造业,50.9,0.3755,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02715.HK,2026-03-09,47.1,42.39,51.81,海通国际,制造业,161.3,0.7507,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03268.HK,2026-03-10,58.44,52.6,64.28,华泰国际,科技,79.4,0.8791,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
07489.HK,2026-03-19,20.67,18.6,22.74,中金公司,新能源,192.6,0.9024,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01989.HK,2026-03-20,19.4,17.46,21.34,华泰国际,制造业,110.7,0.7373,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02701.HK,2026-03-23,38.25,34.43,42.08,华泰国际,制造业,153.2,0.6067,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03355.HK,2026-03-23,21.92,19.73,24.11,华泰国际,制造业,147.1,0.5841,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02632.HK,2026-03-24,9.7,8.73,10.67,中金公司,制造业,30.1,0.761,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02729.HK,2026-03-24,21.61,19.45,23.77,华泰国际,制造业,135.4,0.8001,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
01021.HK,2026-03-30,18.73,16.86,20.6,华泰国际,制造业,126.8,0.5998,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02526.HK,2026-03-30,46.84,42.16,51.52,华泰国际,制造业,190.0,0.9032,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
02726.HK,2026-03-30,28.4,25.56,31.24,国泰君安,制造业,89.1,0.1952,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06636.HK,2026-03-30,9.48,8.53,10.43,中金公司,制造业,143.7,0.1145,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
00664.HK,2026-03-31,29.37,26.43,32.31,海通国际,制造业,6.3,0.2341,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
03625.HK,2026-03-31,23.2,20.88,25.52,华泰国际,制造业,106.5,0.4515,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
06656.HK,2026-04-16,39.67,35.7,43.64,高盛,新能源,66.8,0.1632,https://www.hkexnews.hk/,港交所披露易公开信息整理,2026-06-16
